crop,disease,severity,treatment_cost_usd,temperature,humidity,rainfall_last_week_mm,leaf_color_r,leaf_color_g,leaf_color_b,leaf_texture_variance,spot_density,affected_area_pct,detection_confidence,image_id,detected_date
Corn,Healthy,0,0,45.82,71.5,6.38,138,131,55,0.788,0.0,0.0,0.711,img_00833.jpg,2025-03-21
Rice,Rust,4,200,22.14,73.38,22.87,109,106,63,0.304,0.529,58.9,0.966,img_00834.jpg,2025-03-16
Tomato,Root_Rot,4,220,34.72,87.18,8.82,183,109,67,0.636,0.226,60.82,0.804,img_00835.jpg,2025-03-08
Grape,Downy_Mildew,2,120,18.09,76.42,18.09,194,139,53,0.102,0.772,45.15,0.903,img_00836.jpg,2025-06-20
Wheat,Powdery_Mildew,2,100,17.37,75.42,17.03,115,79,43,0.618,0.226,46.98,0.795,img_00837.jpg,2025-03-11
Potato,Rust,4,200,22.58,87.65,24.93,66,148,52,0.515,0.243,36.0,0.968,img_00838.jpg,2026-01-19
Rice,Bacterial_Spot,3,180,22.31,65.59,62.31,162,79,77,0.667,0.436,16.39,0.777,img_00839.jpg,2025-05-25
Pepper,Leaf_Blight,3,150,35.05,61.24,6.9,147,52,58,0.104,0.392,30.02,0.979,img_00840.jpg,2025-03-10
Wheat,Anthracnose,3,160,10.67,79.25,26.43,95,125,88,0.55,0.117,77.61,0.793,img_00841.jpg,2025-04-04
Apple,Root_Rot,4,220,4.35,62.39,258.34,147,60,75,0.424,0.799,31.82,0.78,img_00842.jpg,2025-09-10
Potato,Root_Rot,4,220,30.21,71.86,60.73,94,114,68,0.836,0.665,17.01,0.97,img_00843.jpg,2025-04-15
Corn,Powdery_Mildew,2,100,24.49,70.69,78.45,176,79,59,0.707,0.329,74.15,0.774,img_00844.jpg,2026-01-14
Corn,Downy_Mildew,2,120,38.57,78.8,6.57,109,128,29,0.477,0.788,8.69,0.783,img_00845.jpg,2025-12-10
Grape,Healthy,0,0,25.72,40.26,18.31,196,167,50,0.854,0.0,0.0,0.743,img_00846.jpg,2025-11-02
Grape,Leaf_Blight,3,150,34.95,68.79,31.9,155,136,49,0.111,0.314,9.85,0.969,img_00847.jpg,2025-09-25
Pepper,Leaf_Blight,3,150,24.48,78.36,33.48,178,88,28,0.847,0.696,73.7,0.834,img_00848.jpg,2025-08-07
Wheat,Leaf_Blight,3,150,33.13,70.66,7.55,129,83,97,0.198,0.3,36.6,0.895,img_00849.jpg,2026-02-05
Wheat,Powdery_Mildew,2,100,21.74,62.93,34.14,129,50,88,0.638,0.745,54.85,0.98,img_00850.jpg,2025-07-23
Potato,Bacterial_Spot,3,180,22.02,81.04,27.42,81,68,84,0.542,0.525,35.96,0.808,img_00851.jpg,2025-03-03
Wheat,Root_Rot,4,220,21.38,61.94,110.23,127,54,24,0.359,0.375,10.62,0.884,img_00852.jpg,2025-07-18
Wheat,Downy_Mildew,2,120,26.26,62.84,18.59,118,40,54,0.129,0.607,79.53,0.873,img_00853.jpg,2025-09-10
Potato,Fusarium_Wilt,5,280,21.3,88.84,31.65,53,56,96,0.427,0.718,49.35,0.734,img_00854.jpg,2025-07-23
Grape,Anthracnose,3,160,38.54,63.71,28.49,184,101,65,0.646,0.776,22.37,0.842,img_00855.jpg,2025-10-02
Wheat,Healthy,0,0,17.46,86.04,52.04,110,151,78,0.672,0.0,0.0,0.745,img_00856.jpg,2025-12-06
Potato,Rust,4,200,12.49,84.37,10.88,115,133,41,0.136,0.208,53.51,0.841,img_00857.jpg,2025-02-19
Wheat,Fusarium_Wilt,5,280,27.84,80.68,103.48,173,70,25,0.658,0.314,36.03,0.896,img_00858.jpg,2025-03-19
Apple,Powdery_Mildew,2,100,25.6,73.56,62.06,189,106,29,0.38,0.729,69.57,0.711,img_00859.jpg,2025-12-10
Corn,Downy_Mildew,2,120,24.64,83.36,4.73,163,82,76,0.34,0.794,9.07,0.796,img_00860.jpg,2025-03-31
Pepper,Root_Rot,4,220,36.11,93.66,6.95,142,136,78,0.837,0.163,17.18,0.74,img_00861.jpg,2025-12-29
Grape,Powdery_Mildew,2,100,20.29,73.69,1.91,71,71,44,0.533,0.185,66.85,0.888,img_00862.jpg,2025-04-17
Pepper,Rust,4,200,25.61,93.6,0.01,80,107,28,0.596,0.56,72.12,0.937,img_00863.jpg,2025-04-27
Apple,Bacterial_Spot,3,180,27.75,89.52,52.81,192,119,78,0.462,0.698,68.67,0.937,img_00864.jpg,2025-11-27
Apple,Powdery_Mildew,2,100,21.64,89.78,31.21,185,79,27,0.347,0.703,30.35,0.731,img_00865.jpg,2025-11-17
Grape,Fusarium_Wilt,5,280,16.78,71.09,5.57,172,149,96,0.503,0.523,6.49,0.915,img_00866.jpg,2025-10-11
Rice,Bacterial_Spot,3,180,15.84,89.13,28.11,132,62,66,0.349,0.693,38.37,0.904,img_00867.jpg,2025-03-06
Rice,Downy_Mildew,2,120,27.47,75.36,49.08,109,52,56,0.271,0.247,61.58,0.888,img_00868.jpg,2025-10-15
Grape,Root_Rot,4,220,19.66,73.99,8.1,177,121,72,0.896,0.264,16.95,0.902,img_00869.jpg,2025-06-05
Potato,Leaf_Blight,3,150,36.73,77.53,7.57,185,78,51,0.695,0.512,22.0,0.724,img_00870.jpg,2026-01-12
Wheat,Bacterial_Spot,3,180,29.87,86.53,6.44,68,48,42,0.212,0.546,46.49,0.946,img_00871.jpg,2025-10-29
Grape,Healthy,0,0,16.0,86.55,7.51,129,105,99,0.33,0.0,0.0,0.807,img_00872.jpg,2025-10-11
Tomato,Healthy,0,0,17.15,70.33,14.52,182,179,70,0.2,0.0,0.0,0.776,img_00873.jpg,2025-09-08
Pepper,Downy_Mildew,2,120,15.98,63.27,0.59,170,85,36,0.366,0.764,69.18,0.744,img_00874.jpg,2025-06-19
Apple,Leaf_Blight,3,150,18.57,93.63,17.65,84,98,31,0.394,0.587,29.02,0.939,img_00875.jpg,2025-09-10
Tomato,Mosaic_Virus,5,250,25.88,91.68,61.79,78,91,59,0.402,0.354,64.55,0.77,img_00876.jpg,2025-03-29
Corn,Root_Rot,4,220,28.66,82.25,2.41,156,124,21,0.676,0.351,5.01,0.846,img_00877.jpg,2025-06-18
Pepper,Downy_Mildew,2,120,32.94,77.68,10.0,120,84,20,0.376,0.358,48.45,0.9,img_00878.jpg,2025-04-13
Corn,Healthy,0,0,5.4,40.7,62.78,56,186,39,0.198,0.0,0.0,0.866,img_00879.jpg,2025-08-21
Potato,Fusarium_Wilt,5,280,17.79,78.69,42.5,178,111,68,0.586,0.693,74.77,0.909,img_00880.jpg,2025-03-04
Tomato,Powdery_Mildew,2,100,28.76,83.72,10.33,178,81,27,0.31,0.32,20.19,0.904,img_00881.jpg,2025-02-19
Grape,Bacterial_Spot,3,180,32.21,74.77,4.46,133,77,76,0.548,0.365,71.98,0.94,img_00882.jpg,2025-10-22
Corn,Anthracnose,3,160,30.78,81.5,39.1,177,89,83,0.181,0.156,42.47,0.902,img_00883.jpg,2025-12-22
Corn,Root_Rot,4,220,20.21,66.33,7.41,99,138,47,0.352,0.422,21.79,0.863,img_00884.jpg,2025-07-31
Tomato,Root_Rot,4,220,22.96,73.43,16.78,53,140,31,0.284,0.286,44.14,0.753,img_00885.jpg,2025-11-01
Wheat,Powdery_Mildew,2,100,39.66,65.58,34.31,78,136,68,0.567,0.614,79.54,0.791,img_00886.jpg,2025-09-07
Rice,Downy_Mildew,2,120,30.1,89.56,35.05,166,107,61,0.633,0.639,38.7,0.814,img_00887.jpg,2026-01-13
Tomato,Downy_Mildew,2,120,34.25,66.07,51.23,73,41,22,0.821,0.762,43.09,0.826,img_00888.jpg,2025-11-22
Apple,Fusarium_Wilt,5,280,42.4,60.6,39.57,171,84,79,0.256,0.26,75.46,0.785,img_00889.jpg,2025-08-27
Pepper,Fusarium_Wilt,5,280,28.4,79.61,20.43,178,111,77,0.121,0.3,16.63,0.8,img_00890.jpg,2025-06-25
Pepper,Rust,4,200,23.32,88.97,3.06,60,104,37,0.792,0.137,17.29,0.775,img_00891.jpg,2025-05-03
Apple,Rust,4,200,22.56,70.58,48.5,101,120,66,0.656,0.372,7.84,0.724,img_00892.jpg,2025-06-14
Apple,Fusarium_Wilt,5,280,31.48,66.21,138.44,177,128,31,0.428,0.423,42.71,0.923,img_00893.jpg,2025-08-26
Corn,Leaf_Blight,3,150,22.11,62.47,63.21,57,114,36,0.229,0.791,54.18,0.743,img_00894.jpg,2025-10-12
Rice,Anthracnose,3,160,18.65,88.78,17.35,134,136,32,0.66,0.78,59.31,0.919,img_00895.jpg,2025-03-07
Potato,Leaf_Blight,3,150,23.99,61.52,6.09,118,45,21,0.54,0.176,34.63,0.823,img_00896.jpg,2026-01-18
Wheat,Anthracnose,3,160,18.32,62.84,37.23,116,43,70,0.56,0.26,34.59,0.882,img_00897.jpg,2025-08-03
Tomato,Anthracnose,3,160,25.75,68.15,3.24,138,60,21,0.748,0.525,19.76,0.924,img_00898.jpg,2025-10-31
Grape,Downy_Mildew,2,120,26.92,89.5,6.99,136,144,72,0.329,0.773,61.9,0.94,img_00899.jpg,2025-12-06
Grape,Mosaic_Virus,5,250,16.38,94.89,17.76,163,136,71,0.69,0.242,9.2,0.735,img_00900.jpg,2025-03-22
Grape,Anthracnose,3,160,14.4,91.66,18.25,184,106,69,0.601,0.607,17.82,0.746,img_00901.jpg,2025-12-28
Corn,Leaf_Blight,3,150,17.91,79.17,22.7,147,126,74,0.875,0.743,52.25,0.848,img_00902.jpg,2025-08-17
Rice,Downy_Mildew,2,120,18.35,76.92,39.86,159,90,53,0.886,0.665,74.66,0.713,img_00903.jpg,2025-11-29
Wheat,Rust,4,200,38.42,82.66,45.03,114,143,79,0.603,0.763,60.78,0.797,img_00904.jpg,2026-02-04
Tomato,Healthy,0,0,25.02,46.56,99.53,91,146,88,0.788,0.0,0.0,0.861,img_00905.jpg,2025-08-18
Wheat,Root_Rot,4,220,23.82,76.34,8.17,66,48,87,0.84,0.292,23.74,0.908,img_00906.jpg,2026-02-03
Corn,Downy_Mildew,2,120,31.62,73.27,53.91,170,80,93,0.315,0.543,58.7,0.846,img_00907.jpg,2025-04-30
Rice,Powdery_Mildew,2,100,33.36,62.08,55.3,54,140,30,0.63,0.328,10.34,0.713,img_00908.jpg,2025-03-30
Corn,Downy_Mildew,2,120,41.37,85.14,33.01,55,72,66,0.575,0.77,46.47,0.906,img_00909.jpg,2025-06-03
Wheat,Anthracnose,3,160,17.67,86.6,2.24,75,128,68,0.48,0.518,68.8,0.975,img_00910.jpg,2025-11-24
Tomato,Leaf_Blight,3,150,26.4,65.28,16.53,77,136,65,0.16,0.53,77.55,0.928,img_00911.jpg,2025-06-23
Wheat,Downy_Mildew,2,120,39.26,85.84,2.41,164,136,91,0.154,0.654,53.03,0.933,img_00912.jpg,2026-01-08
Pepper,Powdery_Mildew,2,100,21.2,93.71,16.79,126,58,74,0.826,0.795,28.12,0.959,img_00913.jpg,2025-10-25
Apple,Root_Rot,4,220,21.55,91.6,38.19,117,144,41,0.467,0.586,43.5,0.86,img_00914.jpg,2025-09-24
Apple,Downy_Mildew,2,120,16.85,80.21,59.04,83,125,26,0.746,0.139,72.26,0.901,img_00915.jpg,2025-12-05
Tomato,Powdery_Mildew,2,100,19.46,61.95,2.39,84,122,72,0.329,0.442,55.32,0.7,img_00916.jpg,2025-06-23
Tomato,Powdery_Mildew,2,100,27.63,92.58,14.32,63,106,49,0.631,0.416,37.43,0.983,img_00917.jpg,2026-01-18
Pepper,Fusarium_Wilt,5,280,29.73,80.72,12.75,101,142,51,0.676,0.463,51.59,0.816,img_00918.jpg,2026-02-08
Rice,Downy_Mildew,2,120,32.31,67.79,18.81,89,141,66,0.659,0.17,60.15,0.743,img_00919.jpg,2025-12-11
Pepper,Downy_Mildew,2,120,27.49,78.79,5.68,188,106,48,0.251,0.136,39.72,0.783,img_00920.jpg,2025-10-13
Grape,Leaf_Blight,3,150,22.44,77.47,20.45,88,50,46,0.271,0.371,56.14,0.798,img_00921.jpg,2025-03-07
Pepper,Powdery_Mildew,2,100,18.76,70.31,2.87,135,90,32,0.418,0.138,71.67,0.816,img_00922.jpg,2025-04-12
Wheat,Root_Rot,4,220,10.53,84.24,2.69,72,117,79,0.166,0.651,37.68,0.975,img_00923.jpg,2025-04-03
Apple,Root_Rot,4,220,21.57,76.13,55.3,185,132,40,0.616,0.352,39.34,0.907,img_00924.jpg,2026-01-17
Apple,Powdery_Mildew,2,100,26.52,61.72,27.01,99,100,54,0.471,0.337,58.78,0.812,img_00925.jpg,2025-08-23
Potato,Mosaic_Virus,5,250,25.55,64.7,12.34,194,50,22,0.36,0.713,40.86,0.956,img_00926.jpg,2025-03-06
Tomato,Healthy,0,0,32.12,43.38,55.62,120,155,76,0.512,0.0,0.0,0.735,img_00927.jpg,2025-08-17
Tomato,Leaf_Blight,3,150,27.74,85.97,16.07,104,131,43,0.522,0.416,42.69,0.729,img_00928.jpg,2025-06-02
Rice,Leaf_Blight,3,150,23.02,79.95,8.64,186,144,30,0.642,0.243,10.78,0.964,img_00929.jpg,2025-03-04
Rice,Downy_Mildew,2,120,36.81,78.57,8.3,184,40,88,0.624,0.633,47.69,0.868,img_00930.jpg,2025-02-21
Corn,Powdery_Mildew,2,100,31.97,67.89,46.0,163,48,92,0.338,0.561,57.59,0.722,img_00931.jpg,2025-07-15
Wheat,Powdery_Mildew,2,100,18.87,79.04,95.09,137,144,69,0.568,0.717,45.71,0.927,img_00932.jpg,2025-03-03
Tomato,Healthy,0,0,31.89,88.73,15.69,159,211,55,0.201,0.0,0.0,0.759,img_00933.jpg,2025-11-04
Tomato,Root_Rot,4,220,33.25,86.36,24.92,114,70,84,0.317,0.327,56.68,0.732,img_00934.jpg,2025-07-03
Corn,Powdery_Mildew,2,100,25.73,82.51,88.91,153,46,91,0.178,0.316,75.47,0.804,img_00935.jpg,2025-10-19
Tomato,Mosaic_Virus,5,250,29.27,83.39,1.05,138,71,77,0.779,0.116,63.61,0.817,img_00936.jpg,2025-12-03
Wheat,Downy_Mildew,2,120,16.65,78.44,24.12,191,79,89,0.184,0.276,10.29,0.942,img_00937.jpg,2026-02-18
Rice,Rust,4,200,30.81,85.56,2.09,120,130,45,0.728,0.42,59.71,0.887,img_00938.jpg,2025-03-07
Rice,Powdery_Mildew,2,100,15.5,63.85,11.92,168,141,72,0.121,0.188,67.42,0.874,img_00939.jpg,2025-11-10
Apple,Anthracnose,3,160,35.2,87.07,11.79,160,114,56,0.406,0.128,66.41,0.821,img_00940.jpg,2025-11-07
Potato,Fusarium_Wilt,5,280,23.53,76.02,48.52,139,62,32,0.518,0.177,77.28,0.783,img_00941.jpg,2025-07-12
Corn,Fusarium_Wilt,5,280,40.04,68.95,45.47,135,42,88,0.188,0.569,75.59,0.886,img_00942.jpg,2025-05-09
Potato,Healthy,0,0,23.81,69.34,21.0,177,136,65,0.664,0.0,0.0,0.976,img_00943.jpg,2025-07-22
Wheat,Root_Rot,4,220,25.91,84.02,28.84,198,146,20,0.585,0.726,62.35,0.759,img_00944.jpg,2025-12-18
Grape,Root_Rot,4,220,22.55,80.53,0.3,177,40,63,0.715,0.368,26.73,0.785,img_00945.jpg,2025-04-12
Pepper,Root_Rot,4,220,17.3,70.4,3.5,143,136,36,0.453,0.472,56.41,0.841,img_00946.jpg,2025-03-10
Tomato,Bacterial_Spot,3,180,20.4,84.96,50.47,182,140,65,0.472,0.503,41.24,0.919,img_00947.jpg,2025-10-15
Tomato,Rust,4,200,36.43,63.36,9.73,152,71,99,0.875,0.531,13.8,0.962,img_00948.jpg,2025-10-12
Rice,Mosaic_Virus,5,250,21.72,86.17,46.91,182,48,76,0.537,0.195,42.47,0.801,img_00949.jpg,2025-10-13
Tomato,Leaf_Blight,3,150,25.63,92.5,26.26,113,140,50,0.103,0.453,60.24,0.88,img_00950.jpg,2025-08-04
Grape,Leaf_Blight,3,150,29.5,82.18,11.86,172,115,98,0.771,0.185,50.08,0.838,img_00951.jpg,2025-08-03
Pepper,Bacterial_Spot,3,180,10.93,82.75,68.36,89,113,97,0.883,0.313,39.96,0.705,img_00952.jpg,2026-02-17
Rice,Healthy,0,0,12.39,84.61,47.27,51,102,84,0.759,0.0,0.0,0.78,img_00953.jpg,2025-09-24
Tomato,Mosaic_Virus,5,250,20.68,89.74,21.42,112,125,52,0.475,0.23,57.11,0.706,img_00954.jpg,2025-12-30
Potato,Mosaic_Virus,5,250,27.27,83.53,26.18,145,92,34,0.117,0.299,76.95,0.815,img_00955.jpg,2025-06-14
Rice,Root_Rot,4,220,33.74,63.32,17.27,165,142,93,0.644,0.448,23.48,0.829,img_00956.jpg,2025-12-08
Grape,Fusarium_Wilt,5,280,13.11,61.29,98.64,144,83,62,0.39,0.152,47.02,0.887,img_00957.jpg,2025-03-02
Tomato,Powdery_Mildew,2,100,36.48,60.4,2.29,179,110,54,0.115,0.754,10.48,0.962,img_00958.jpg,2025-04-25
Rice,Powdery_Mildew,2,100,22.42,90.51,9.03,134,89,46,0.648,0.703,22.82,0.765,img_00959.jpg,2026-01-01
Apple,Leaf_Blight,3,150,15.82,63.27,8.37,185,131,38,0.503,0.783,75.92,0.763,img_00960.jpg,2026-02-16
Tomato,Mosaic_Virus,5,250,21.85,93.69,49.1,144,45,50,0.729,0.799,28.19,0.898,img_00961.jpg,2025-03-22
Grape,Fusarium_Wilt,5,280,31.96,70.88,18.39,187,137,34,0.468,0.124,64.23,0.736,img_00962.jpg,2025-04-10
Grape,Fusarium_Wilt,5,280,28.33,92.12,140.69,110,44,25,0.397,0.142,53.82,0.786,img_00963.jpg,2025-12-31
Potato,Rust,4,200,23.53,62.89,150.69,176,114,87,0.481,0.737,13.68,0.986,img_00964.jpg,2025-09-04
Apple,Powdery_Mildew,2,100,19.48,88.45,4.61,162,59,62,0.278,0.534,68.82,0.715,img_00965.jpg,2025-08-13
Wheat,Powdery_Mildew,2,100,38.66,61.13,13.09,104,90,55,0.692,0.16,36.25,0.775,img_00966.jpg,2025-02-28
Corn,Powdery_Mildew,2,100,28.04,72.62,8.46,90,90,30,0.488,0.781,16.22,0.732,img_00967.jpg,2025-03-18
Tomato,Downy_Mildew,2,120,31.0,77.04,25.84,50,55,40,0.455,0.169,72.93,0.941,img_00968.jpg,2025-09-06
Wheat,Downy_Mildew,2,120,21.86,75.9,18.07,67,63,88,0.201,0.472,65.95,0.848,img_00969.jpg,2025-07-01
Rice,Anthracnose,3,160,28.97,93.26,51.9,123,40,32,0.353,0.184,58.22,0.853,img_00970.jpg,2025-10-22
Rice,Mosaic_Virus,5,250,26.54,90.15,33.49,54,64,57,0.37,0.162,58.56,0.962,img_00971.jpg,2026-01-21
Pepper,Bacterial_Spot,3,180,15.84,89.03,39.08,71,90,91,0.438,0.663,25.04,0.732,img_00972.jpg,2025-07-27
Apple,Powdery_Mildew,2,100,17.93,79.97,21.12,141,112,26,0.699,0.704,14.74,0.85,img_00973.jpg,2025-03-10
Apple,Rust,4,200,28.7,75.43,3.05,58,64,51,0.853,0.356,67.54,0.858,img_00974.jpg,2026-01-27
Potato,Leaf_Blight,3,150,19.16,86.21,5.54,164,102,66,0.472,0.26,41.03,0.948,img_00975.jpg,2025-12-22
Corn,Mosaic_Virus,5,250,22.65,74.71,29.45,110,133,38,0.201,0.549,40.85,0.707,img_00976.jpg,2025-09-06
Grape,Mosaic_Virus,5,250,22.54,82.93,14.45,75,44,57,0.541,0.543,9.06,0.911,img_00977.jpg,2025-11-19
Pepper,Anthracnose,3,160,24.73,85.78,32.31,68,116,56,0.741,0.705,8.39,0.711,img_00978.jpg,2025-02-24
Corn,Downy_Mildew,2,120,26.89,94.3,20.6,66,62,78,0.529,0.562,45.32,0.702,img_00979.jpg,2025-07-29
Wheat,Healthy,0,0,21.79,52.71,31.32,155,202,68,0.498,0.0,0.0,0.821,img_00980.jpg,2026-01-08
Rice,Anthracnose,3,160,28.69,93.93,4.56,179,138,47,0.322,0.632,40.6,0.948,img_00981.jpg,2025-05-23
Tomato,Fusarium_Wilt,5,280,17.39,82.3,0.04,51,40,66,0.501,0.508,39.09,0.823,img_00982.jpg,2025-10-21
Rice,Healthy,0,0,24.74,52.01,98.2,164,159,38,0.722,0.0,0.0,0.986,img_00983.jpg,2025-08-20
Tomato,Downy_Mildew,2,120,19.65,76.69,30.65,88,46,34,0.342,0.749,71.26,0.736,img_00984.jpg,2025-02-23
Pepper,Fusarium_Wilt,5,280,32.11,79.86,13.29,171,101,61,0.625,0.631,25.57,0.818,img_00985.jpg,2025-12-21
Grape,Downy_Mildew,2,120,39.51,68.5,34.92,108,149,37,0.724,0.759,16.0,0.952,img_00986.jpg,2026-01-16
Corn,Bacterial_Spot,3,180,31.57,81.27,4.38,139,139,28,0.582,0.62,67.25,0.85,img_00987.jpg,2025-11-20
Wheat,Fusarium_Wilt,5,280,14.54,70.19,23.95,87,71,25,0.217,0.131,43.23,0.709,img_00988.jpg,2025-08-15
Rice,Mosaic_Virus,5,250,22.1,87.23,44.4,110,125,25,0.372,0.736,61.54,0.958,img_00989.jpg,2025-03-18
Corn,Mosaic_Virus,5,250,23.84,85.23,5.57,180,133,98,0.306,0.535,47.03,0.842,img_00990.jpg,2026-01-27
Apple,Mosaic_Virus,5,250,34.67,79.85,54.21,113,99,55,0.166,0.444,57.95,0.931,img_00991.jpg,2025-05-07
Pepper,Root_Rot,4,220,33.01,83.31,34.96,81,129,42,0.604,0.106,68.22,0.962,img_00992.jpg,2025-09-08
Pepper,Anthracnose,3,160,23.27,66.24,25.49,158,85,92,0.607,0.728,40.4,0.922,img_00993.jpg,2025-04-19
Potato,Fusarium_Wilt,5,280,27.44,91.29,93.88,82,134,84,0.171,0.251,52.73,0.932,img_00994.jpg,2025-12-27
Pepper,Rust,4,200,21.64,90.47,36.31,143,144,41,0.206,0.561,9.66,0.751,img_00995.jpg,2025-04-22
Wheat,Downy_Mildew,2,120,25.98,82.63,10.21,164,46,39,0.658,0.7,55.36,0.889,img_00996.jpg,2026-02-10
Apple,Bacterial_Spot,3,180,19.88,75.46,1.26,132,73,85,0.878,0.147,56.88,0.855,img_00997.jpg,2025-06-25
Corn,Root_Rot,4,220,26.67,80.56,71.27,168,44,38,0.792,0.561,43.9,0.72,img_00998.jpg,2025-07-08
Apple,Bacterial_Spot,3,180,42.99,61.28,8.31,118,113,31,0.636,0.558,65.61,0.923,img_00999.jpg,2025-03-07
Potato,Leaf_Blight,3,150,23.63,67.36,30.61,198,54,57,0.606,0.47,25.13,0.936,img_01000.jpg,2025-08-04
Apple,Healthy,0,0,35.78,70.25,6.35,95,173,80,0.507,0.0,0.0,0.861,img_01001.jpg,2025-05-24
Pepper,Fusarium_Wilt,5,280,32.14,74.22,61.53,93,51,78,0.453,0.555,27.32,0.793,img_01002.jpg,2026-01-31
Apple,Leaf_Blight,3,150,22.23,81.11,9.4,127,134,31,0.789,0.776,33.29,0.761,img_01003.jpg,2025-03-19
Corn,Powdery_Mildew,2,100,17.39,70.05,15.76,115,51,41,0.357,0.433,31.13,0.965,img_01004.jpg,2025-12-22
Wheat,Rust,4,200,19.79,85.56,29.44,163,137,79,0.766,0.601,7.59,0.731,img_01005.jpg,2025-08-09
Grape,Downy_Mildew,2,120,26.78,63.09,13.34,191,70,88,0.557,0.126,56.48,0.895,img_01006.jpg,2026-01-19
Wheat,Healthy,0,0,20.77,94.58,63.07,171,218,69,0.481,0.0,0.0,0.818,img_01007.jpg,2025-10-03
Grape,Anthracnose,3,160,30.16,78.84,143.49,144,99,78,0.645,0.652,78.94,0.948,img_01008.jpg,2025-03-08
Corn,Leaf_Blight,3,150,24.16,83.24,3.34,101,117,47,0.37,0.218,11.66,0.937,img_01009.jpg,2025-03-13
Wheat,Downy_Mildew,2,120,29.64,79.47,11.02,136,45,33,0.897,0.433,78.37,0.856,img_01010.jpg,2026-02-16
Rice,Anthracnose,3,160,17.69,81.77,17.78,55,149,26,0.711,0.138,32.18,0.952,img_01011.jpg,2025-08-04
Potato,Leaf_Blight,3,150,18.43,69.72,3.48,126,51,24,0.579,0.263,52.95,0.855,img_01012.jpg,2025-10-16
Pepper,Fusarium_Wilt,5,280,25.04,87.62,8.7,96,129,33,0.543,0.139,44.25,0.836,img_01013.jpg,2025-04-30
Corn,Fusarium_Wilt,5,280,29.66,75.77,26.04,185,79,25,0.322,0.606,62.55,0.971,img_01014.jpg,2025-06-26
Apple,Leaf_Blight,3,150,21.13,89.02,1.53,104,114,94,0.389,0.609,72.79,0.733,img_01015.jpg,2025-02-28
Tomato,Root_Rot,4,220,20.21,87.78,6.17,80,90,22,0.567,0.246,19.82,0.873,img_01016.jpg,2025-10-30
Pepper,Rust,4,200,21.38,86.72,12.75,114,56,56,0.28,0.717,66.48,0.749,img_01017.jpg,2025-05-19
Apple,Downy_Mildew,2,120,14.36,88.94,38.95,105,114,95,0.515,0.618,54.68,0.895,img_01018.jpg,2025-12-07
Apple,Downy_Mildew,2,120,13.75,79.4,29.28,127,88,39,0.278,0.586,33.8,0.737,img_01019.jpg,2025-03-27
Grape,Downy_Mildew,2,120,22.53,82.67,38.31,52,134,35,0.219,0.151,26.25,0.852,img_01020.jpg,2025-06-02
Rice,Leaf_Blight,3,150,27.72,84.46,106.07,78,134,81,0.476,0.722,59.15,0.871,img_01021.jpg,2025-10-22
Pepper,Fusarium_Wilt,5,280,26.13,73.67,1.46,122,142,53,0.747,0.355,18.94,0.937,img_01022.jpg,2025-08-01
Tomato,Rust,4,200,28.14,70.28,23.85,60,129,24,0.109,0.687,66.86,0.921,img_01023.jpg,2025-02-20
Tomato,Fusarium_Wilt,5,280,13.08,77.26,56.51,86,137,64,0.641,0.787,19.02,0.759,img_01024.jpg,2025-03-26
Pepper,Healthy,0,0,26.61,45.53,7.09,172,145,53,0.121,0.0,0.0,0.726,img_01025.jpg,2025-10-21
Rice,Anthracnose,3,160,23.67,75.14,190.88,65,40,53,0.806,0.65,33.6,0.965,img_01026.jpg,2025-04-10
Rice,Fusarium_Wilt,5,280,33.2,75.22,47.04,107,140,96,0.101,0.292,53.29,0.967,img_01027.jpg,2025-10-01
Pepper,Mosaic_Virus,5,250,24.82,84.4,222.42,117,102,99,0.354,0.743,63.99,0.954,img_01028.jpg,2025-03-06
Rice,Bacterial_Spot,3,180,22.59,92.62,4.9,60,135,49,0.418,0.713,76.93,0.796,img_01029.jpg,2025-10-01
Tomato,Leaf_Blight,3,150,21.38,77.83,1.43,183,48,38,0.659,0.488,40.86,0.909,img_01030.jpg,2025-07-03
Corn,Root_Rot,4,220,22.13,73.46,11.19,162,77,49,0.633,0.796,17.77,0.785,img_01031.jpg,2025-07-16
Grape,Powdery_Mildew,2,100,13.31,90.77,45.17,94,140,66,0.649,0.581,37.84,0.872,img_01032.jpg,2025-03-29
Rice,Mosaic_Virus,5,250,26.89,83.55,39.64,110,84,22,0.586,0.159,48.72,0.958,img_01033.jpg,2025-03-22
Rice,Rust,4,200,24.2,80.11,8.79,70,80,78,0.711,0.646,54.03,0.889,img_01034.jpg,2025-07-03
Potato,Mosaic_Virus,5,250,21.34,64.81,16.17,113,146,76,0.685,0.41,43.12,0.944,img_01035.jpg,2025-03-04
Tomato,Root_Rot,4,220,17.98,67.24,13.6,181,68,26,0.38,0.289,16.25,0.932,img_01036.jpg,2025-10-10
Apple,Rust,4,200,27.76,90.87,28.5,86,138,78,0.443,0.552,30.0,0.777,img_01037.jpg,2025-04-29
Wheat,Downy_Mildew,2,120,44.34,78.49,31.98,67,101,46,0.439,0.309,18.13,0.776,img_01038.jpg,2025-04-13
Apple,Downy_Mildew,2,120,20.39,94.29,34.72,62,89,27,0.194,0.757,33.64,0.968,img_01039.jpg,2025-04-05
Tomato,Fusarium_Wilt,5,280,17.26,77.48,16.62,154,124,23,0.339,0.519,18.45,0.837,img_01040.jpg,2025-06-28
